Agricultural Region,Municipality,Neighborhood,Crop,Scientific Name,Production unit,Production,Production in pounds,Production in kilograms,Planted cuerdas,Planted hectares,Planted square feet,Harvested cuerdas,Harvested hectares,Harvested square feet
Utuado,Adjuntas,Capáez,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,44,17.3,"1,861,482.76",42,16.52,"1,776,869.90"
Utuado,Adjuntas,Capáez,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,63,24.75,"2,665,304.87",60,23.57,"2,538,385.59"
Utuado,Adjuntas,Garzas,Coffee - shade grown,Coffea spp.,Quintal,56,"5,600.00","2,540.13",36,14.15,"1,523,031.35",11,4.32,"465,370.70"
Utuado,Adjuntas,Garzas,Coffee - sun grown,Coffea spp.,Quintal,427,"42,759.00","19,395.14",122,47.95,"5,161,384.02",103,40.49,"4,357,561.91"
Utuado,Adjuntas,Guayabo Dulce,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,227,89.24,"9,603,558.79",227,89.24,"9,603,558.79"
Utuado,Adjuntas,Guayo,Coffee - trees in nursery,Coffea spp.,Uno,"100,000",0,0,0.24,0.09,"10,000.00",0,0,0
Utuado,Adjuntas,Guayo,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,112,44.02,"4,738,319.76",106,41.66,"4,484,481.19"
Utuado,Adjuntas,Guilarte,Coffee - shade grown,Coffea spp.,Quintal,160,"16,000.00","7,257.47",40,15.72,"1,692,257.05",39,15.33,"1,649,950.63"
Utuado,Adjuntas,Guilarte,Coffee - sun grown,Coffea spp.,Quintal,632,"63,200.00","28,667.01",144,56.62,"6,092,125.42",144,56.62,"6,092,125.42"
Utuado,Adjuntas,Juan González,Coffee - sun grown,Coffea spp.,Quintal,607,"60,700.00","27,533.04",68,26.75,"2,876,837.01",65,25.57,"2,749,917.72"
Utuado,Adjuntas,Limaní,Coffee - shade grown,Coffea spp.,Quintal,15,"1,500.00",680.39,7,2.75,"296,144.98",5,1.97,"211,532.13"
Utuado,Adjuntas,Limaní,Coffee - sun grown,Coffea spp.,Quintal,233,"23,306.00","10,571.43",78,30.65,"3,299,901.27",68.5,26.92,"2,897,990.22"
Utuado,Adjuntas,Pellejas,Coffee - shade grown,Coffea spp.,Quintal,52,"5,200.00","2,358.68",12,4.72,"507,677.11",8,3.14,"338,451.41"
Utuado,Adjuntas,Pellejas,Coffee - sun grown,Coffea spp.,Quintal,191,"19,100.00","8,663.60",41.5,16.31,"1,755,716.68",34.5,13.56,"1,459,571.70"
Utuado,Adjuntas,Portillo,Coffee - shade grown,Coffea spp.,Quintal,131,"13,132.00","5,956.57",31,12.18,"1,311,499.21",30,11.79,"1,269,192.78"
Utuado,Adjuntas,Portillo,Coffee - sun grown,Coffea spp.,Quintal,"1,114","111,418.00","50,538.33",278,109.28,"11,761,186.54",263.5,103.59,"11,147,743.35"
Utuado,Adjuntas,Portugués,Coffee - sun grown,Coffea spp.,Quintal,46,"4,650.00","2,109.20",23,9.03,"973,047.82",19,7.46,"803,822.11"
Utuado,Adjuntas,Saltillo,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,28,11.01,"1,184,579.94",23,9.05,"973,047.81"
Utuado,Adjuntas,Saltillo,Coffee - sun grown,Coffea spp.,Quintal,709,"70,950.00","32,182.37",153,60.17,"6,472,883.24",139.35,54.8,"5,895,400.52"
Utuado,Adjuntas,Tanamá,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,136,53.47,"5,753,673.99",118.5,46.58,"5,013,311.54"
Utuado,Adjuntas,Tanamá,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,585.25,230.07,"24,759,836.06",572.05,224.88,"24,201,391.23"
Utuado,Adjuntas,Vegas Abajo,Coffee - sun grown,Coffea spp.,Quintal,291,"29,139.00","13,217.22",85,33.42,"3,596,046.25",83,32.64,"3,511,433.39"
Utuado,Adjuntas,Vegas Arriba,Coffee - shade grown,Coffea spp.,Quintal,27,"2,700.00","1,224.70",8,3.15,"338,451.41",7,2.75,"296,144.99"
Utuado,Adjuntas,Vegas Arriba,Coffee - sun grown,Coffea spp.,Quintal,254,"25,439.00","11,538.93",70.5,27.72,"2,982,603.08",62.5,24.57,"2,644,151.67"
Utuado,Adjuntas,Yahuecas,Coffee - shade grown,Coffea spp.,Quintal,139,"13,900.00","6,304.92",28.5,11.2,"1,205,733.14",26.5,10.42,"1,121,120.29"
Utuado,Adjuntas,Yahuecas,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,273.61,107.58,"11,575,461.33",258.5,101.65,"10,936,211.22"
Utuado,Adjuntas,Yayales,Coffee - sun grown,Coffea spp.,Quintal,474,"47,400.00","21,500.28",99,38.91,"4,188,336.22",96,37.73,"4,061,416.94"
Mayagüez,Aguada,Cerro Gordo,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,1,0.39,"42,306.43",0,0,0
Mayagüez,Aguada,Lagunas,Coffee - shade grown,Coffea spp.,Quintal,8,800,362.87,7,2.76,"296,144.98",5,1.97,"211,532.13"
Mayagüez,Aguada,Lagunas,Coffee - sun grown,Coffea spp.,Quintal,7,700,317.51,10,3.93,"423,064.26",10,3.93,"423,064.26"
Caguas,Aguas Buenas,Juan Asencio,Coffee - shade grown,Coffea spp.,Quintal,7,700,317.51,10,3.93,"423,064.26",8,3.14,"338,451.41"
Caguas,Aguas Buenas,Juan Asencio,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,2,0.79,"84,612.85",0,0,0
Caguas,Aguas Buenas,Sonadora,Coffee - sun grown,Coffea spp.,Quintal,20,"2,000.00",907.18,7,2.75,"296,144.98",7,2.75,"296,144.98"
Mayagüez,Añasco,Casey Abajo,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,1,0.39,"42,306.43",0,0,0
Mayagüez,Añasco,Casey Abajo,Coffee - sun grown,Coffea spp.,Quintal,75,"7,500.00","3,401.94",16,6.29,"676,902.82",16,6.29,"676,902.82"
Mayagüez,Añasco,Cerro Gordo,Coffee - shade grown,Coffea spp.,Quintal,25,"2,500.00","1,133.98",5,1.97,"211,532.13",5,1.97,"211,532.13"
Mayagüez,Añasco,Cerro Gordo,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,20,7.86,"846,128.53",10,3.93,"423,064.27"
Mayagüez,Añasco,Corcovada,Coffee - shade grown,Coffea spp.,Quintal,2,200,90.72,1,0.39,"42,306.43",1,0.39,"42,306.43"
Mayagüez,Añasco,Corcovada,Coffee - sun grown,Coffea spp.,Quintal,50,"5,070.00","2,299.71",12.25,4.82,"518,253.72",12.25,4.82,"518,253.72"
Mayagüez,Añasco,Dagüey,Coffee - sun grown,Coffea spp.,Quintal,14,"1,400.00",635.03,10,3.93,"423,064.26",9,3.54,"380,757.84"
Mayagüez,Añasco,Espino,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,10,3.93,"423,064.26",10,3.93,"423,064.26"
Mayagüez,Añasco,Humatas,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,1,0.39,"42,306.43",0,0,0
Mayagüez,Añasco,Ovejas,Coffee - sun grown,Coffea spp.,Quintal,25,"2,500.00","1,133.98",10,3.93,"423,064.26",10,3.93,"423,064.26"
Mayagüez,Añasco,Río Arriba,Coffee - sun grown,Coffea spp.,Quintal,9,900,408.23,3.5,1.38,"148,072.49",2.5,0.99,"105,766.06"
Arecibo,Arecibo,Río Arriba,Coffee - shade grown,Coffea spp.,Quintal,4,400,181.44,2,0.79,"84,612.85",2,0.79,"84,612.85"
Arecibo,Arecibo,Río Arriba,Coffee - sun grown,Coffea spp.,Quintal,31,"3,111.00","1,411.12",16,6.29,"676,902.82",16,6.29,"676,902.82"
Arecibo,Arecibo,Sabana Hoyos,Coffee - sun grown,Coffea spp.,Quintal,40,"4,000.00","1,814.37",17,6.69,"719,209.25",15,5.9,"634,596.40"
Arecibo,Barceloneta,Florida Afuera,Coffee - sun grown,Coffea spp.,Quintal,240,"24,000.00","10,886.21",47,18.47,"1,988,402.04",47,18.47,"1,988,402.04"
Naranjito,Barranquitas,Helechal,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,1,0.39,"42,306.43",0,0,0
Naranjito,Barranquitas,Helechal,Coffee - sun grown,Coffea spp.,Quintal,20,"2,000.00",907.18,4,1.57,"169,225.71",4,1.57,"169,225.71"
Naranjito,Barranquitas,Quebradillas,Coffee - sun grown,Coffea spp.,Quintal,10,"1,000.00",453.59,9,3.54,"380,757.83",2,0.79,"84,612.85"
Caguas,Canóvanas,Hato Puerco,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,2,0.79,"84,612.85",0,0,0
